Gene,Effect,HRE
SLC10A7,NO,YES
HLCS,NO,YES
LMNB2,NO,YES
ASB5,NO,YES
RICH2,NO,YES
PTK2B,NO,YES
MYH6,NO,YES
ODZ1,NO,YES
RIN2,NO,YES
PLCL1,NO,YES
YWHAZ,NO,YES
SMPX,NO,YES
SENP6,NO,YES
FBXL5,NO,YES
CACNA1C,NO,YES
AAMP,NO,YES
DHX35,NO,YES
PAK4,NO,YES
SLC12A9,NO,YES
SHANK2,NO,YES
BACH2,NO,YES
MLL4,NO,YES
CD93,NO,YES
NFAM1,NO,YES
EVI1,NO,YES
CHST6,NO,YES
ADAM23,NO,YES
COPB2,NO,YES
HCFC1,NO,YES
CCL27,NO,YES
PFTK1,NO,YES
ODZ3,NO,YES
AKT2,NO,YES
SEMA6B,NO,YES
WWP1,NO,YES
EIF4G3,NO,YES
APH1A,NO,YES
HSPA14,NO,YES
GNG12,NO,YES
GPD1L,NO,YES
RCC2,NO,YES
TBC1D5,NO,YES
NPTXR,NO,YES
EFNB2,NO,YES
SFRS6,NO,YES
TAGLN3,NO,YES
PRDM8,NO,YES
DIAPH1,NO,YES
HDAC11,NO,YES
REM1,NO,YES
LGR4,NO,YES
GRIK2,NO,YES
FLNA,NO,YES
CTXN1,NO,YES
EMILIN1,NO,YES
SLC39A7,NO,YES
CALB2,NO,YES
TBX18,NO,YES
GNPTAB,NO,YES
EFS,NO,YES
PDZRN3,NO,YES
GNAT3,NO,YES
TPPP,NO,YES
BFSP1,NO,YES
DNAJC10,NO,YES
PCSK1,NO,YES
HMGN1,NO,YES
PPCDC,NO,YES
TUSC1,NO,YES
MBTPS1,NO,YES
CKS1B,NO,YES
FLJ44635,NO,YES
HSPB7,NO,YES
FSTL5,NO,YES
RASA1,NO,YES
NUDCD1,NO,YES
DNAJB11,NO,YES
EPDR1,NO,YES
PACSIN3,NO,YES
KCNN4,NO,YES
HSD17B8,NO,YES
MAPK4,NO,YES
PHF23,NO,YES
SCAMP3,NO,YES
CDK9,NO,YES
ITSN2,NO,YES
ID1,NO,YES
PITPNM3,NO,YES
ZBTB32,NO,YES
CUL3,NO,YES
UBE2J1,NO,YES
PRPF38B,NO,YES
SLC12A2,NO,YES
MYLK,NO,YES
ATG5,NO,YES
SLC26A7,NO,YES
GABRA1,NO,YES
TFAP2C,NO,YES
HIF1AN,NO,YES
SALL3,NO,YES
BARX1,NO,YES
DMRT1,NO,YES
HARS,NO,YES
ARHGAP24,NO,YES
E2F1,NO,YES
ERGIC3,NO,YES
DAB2,NO,YES
TMEM90A,NO,YES
KIAA0776,NO,YES
YLPM1,NO,YES
VSNL1,NO,YES
HOOK3,NO,YES
HNRPLL,NO,YES
PARD6B,NO,YES
NEUROG1,NO,YES
SH3TC2,NO,YES
DNMT3B,NO,YES
XK,NO,YES
DOLPP1,NO,YES
PAFAH1B1,NO,YES
SLC43A2,NO,YES
GLI3,NO,YES
HIPK1,NO,YES
ARFIP2,NO,YES
HS6ST3,NO,YES
SLCO1C1,NO,YES
ALG3,NO,YES
MAP2K7,NO,YES
ARPP-21,NO,YES
ATE1,NO,YES
DGKI,NO,YES
IL17RD,NO,YES
AP1S1,NO,YES
CD40LG,NO,YES
B3GAT1,NO,YES
KCNK2,NO,YES
NDST4,NO,YES
BCR,NO,YES
FXC1,NO,YES
RASAL2,NO,YES
SLC1A5,NO,YES
RAB11FIP3,NO,YES
MDC1,NO,YES
FGD1,NO,YES
GORASP2,NO,YES
NCKAP1,NO,YES
FCER1G,NO,YES
TARDBP,NO,YES
NOS1,NO,YES
MMP27,NO,YES
SLC9A5,NO,YES
FHOD1,NO,YES
VASH1,NO,YES
GPR137,NO,YES
AKAP5,NO,YES
TEAD3,NO,YES
PDE1B,NO,YES
PPARGC1A,NO,YES
TRAK2,NO,YES
DENND2D,NO,YES
KCND2,NO,YES
RBM19,NO,YES
ATP8A1,NO,YES
NPPC,NO,YES
RPRM,NO,YES
PPM1L,NO,YES
INPP5F,NO,YES
REPS1,NO,YES
IGSF1,NO,YES
GNAQ,NO,YES
CXCL14,NO,YES
PDE1A,NO,YES
R3HDM1,NO,YES
HAT1,NO,YES
ADAR,NO,YES
KCNAB3,NO,YES
HNRNPA2B1,NO,YES
ELF2,NO,YES
PTPRD,NO,YES
SPTLC2,NO,YES
IFIH1,NO,YES
FGR,NO,YES
AGRP,NO,YES
ADAMTS4,NO,YES
ZPBP,NO,YES
POLR3A,NO,YES
EXOC6,NO,YES
RAB35,NO,YES
PSMB2,NO,YES
CAND1,NO,YES
DCC,NO,YES
MAP4K1,NO,YES
DGKG,NO,YES
CNTN6,NO,YES
PSIP1,NO,YES
EPB41L4A,NO,YES
LYST,NO,YES
GCN1L1,NO,YES
SNAI1,NO,YES
HMGN3,NO,YES
STT3A,NO,YES
SMG5,NO,YES
EIF2C1,NO,YES
SOS2,NO,YES
NDUFS2,NO,YES
FLJ10357,NO,YES
CIC,NO,YES
SELT,NO,YES
CDAN1,NO,YES
MYO1C,NO,YES
FHIT,NO,YES
ITGA11,NO,YES
CBFB,NO,YES
TBL1XR1,NO,YES
SLC1A3,NO,YES
DFFA,NO,YES
DOK6,NO,YES
CLIC5,NO,YES
CCDC13,NO,YES
GRHL3,NO,YES
CXXC4,NO,YES
GABRB1,NO,YES
FAM40A,NO,YES
METT10D,NO,YES
DEPDC1B,NO,YES
PLA2G7,NO,YES
NPHS1,NO,YES
KIRREL2,NO,YES
GJB1,NO,YES
NTSR2,NO,YES
PRDM12,NO,YES
YTHDF2,NO,YES
ZNF638,NO,YES
MIB1,NO,YES
RYR1,NO,YES
MEGF9,NO,YES
TCF7L2,NO,YES
BAD,NO,YES
FBXW2,NO,YES
PCDH11X,NO,YES
GATAD2B,NO,YES
CCND3,NO,YES
KIAA0556,NO,YES
NHLH2,NO,YES
FAM76A,NO,YES
SLC38A1,NO,YES
RAB11FIP2,NO,YES
UBE3A,NO,YES
STX5,NO,YES
QSER1,NO,YES
RALY,NO,YES
RNF34,NO,YES
WNT10A,NO,YES
CNTN5,NO,YES
SIRPA,NO,YES
PKDREJ,NO,YES
HRAS,NO,YES
ALDH1A3,NO,YES
FAM65A,NO,YES
ABAT,NO,YES
ATAD3B,NO,YES
TRIM44,NO,YES
PDZRN4,NO,YES
SCUBE3,NO,YES
VRK1,NO,YES
SLC8A1,NO,YES
CALM3,NO,YES
PDGFRB,NO,YES
SLC7A1,NO,YES
PDLIM7,NO,YES
IL21,NO,YES
MED14,NO,YES
TLE2,NO,YES
RAB12,NO,YES
BRAF,NO,YES
KIAA0494,NO,YES
MAP1B,NO,YES
GUCY1B3,NO,YES
KCNA4,NO,YES
NFATC2,NO,YES
CSNK1G1,NO,YES
DMRT3,NO,YES
POU6F2,NO,YES
PLCB1,NO,YES
FGF16,NO,YES
KLC2,NO,YES
MSX1,NO,YES
HOXA2,NO,YES
TUBB3,NO,YES
FZR1,NO,YES
COL11A2,NO,YES
ENAH,NO,YES
B4GALT3,NO,YES
KCNJ9,NO,YES
TTC7B,NO,YES
DGUOK,NO,YES
ITGB8,NO,YES
MBNL3,NO,YES
PITX1,NO,YES
RGS20,NO,YES
FBXL17,NO,YES
TMEM127,NO,YES
PTCH2,NO,YES
RTCD1,NO,YES
IMPA2,NO,YES
CTDSP2,NO,YES
IER2,NO,YES
VIT,NO,YES
ERBB2IP,NO,YES
MYLK2,NO,YES
STYX,NO,YES
NF2,NO,YES
GLRB,NO,YES
CLSTN2,NO,YES
DOK1,NO,YES
DDX6,NO,YES
HISPPD2A,NO,YES
ARHGAP17,NO,YES
ERBB3,NO,YES
FBLIM1,NO,YES
SLC8A2,NO,YES
SLC39A10,NO,YES
LRCH1,NO,YES
HMP19,NO,YES
STK35,NO,YES
PDE7B,NO,YES
RANBP17,NO,YES
H2AFY,NO,YES
GABRG2,NO,YES
SLC35C1,NO,YES
NOVA1,NO,YES
RGAG4,NO,YES
UBP1,NO,YES
NRCAM,NO,YES
TLX1,NO,YES
GPR137C,NO,YES
HIST1H4D,NO,YES
CDCA3,NO,YES
KIF1C,NO,YES
GPR88,NO,YES
EXT2,NO,YES
LUC7L,NO,YES
GUCY1A3,NO,YES
APOA5,NO,YES
SLC32A1,NO,YES
DOCK5,NO,YES
UBQLN4,NO,YES
MTMR12,NO,YES
NR2F6,NO,YES
AKNA,NO,YES
TGM6,NO,YES
ABHD2,NO,YES
PDPR,NO,YES
ENPP1,NO,YES
PANK1,NO,YES
SASS6,NO,YES
RAB27B,NO,YES
TPCN1,NO,YES
RBX1,NO,YES
GCLM,NO,YES
RAPGEF2,NO,YES
PDYN,NO,YES
CACHD1,NO,YES
MFRP,NO,YES
MYOCD,NO,YES
ABCG1,NO,YES
LDLRAP1,NO,YES
UBE2G1,NO,YES
NTHL1,NO,YES
RASGRF1,NO,YES
ILF2,NO,YES
OFCC1,NO,YES
UBE2D2,NO,YES
PPP4R1,NO,YES
IPO9,NO,YES
OTX1,NO,YES
IL17D,NO,YES
CALCRL,NO,YES
RHPN1,NO,YES
MPDZ,NO,YES
PLEKHA5,NO,YES
PAPLN,NO,YES
PDE3A,NO,YES
ATP9B,NO,YES
NFKBIB,NO,YES
TATDN2,NO,YES
SIRT2,NO,YES
SNAP23,NO,YES
SBF1,NO,YES
GTF2E1,NO,YES
SDPR,NO,YES
DLEU7,NO,YES
GHSR,NO,YES
MYO9B,NO,YES
CD82,NO,YES
GALNT5,NO,YES
OSBPL3,NO,YES
BCL7A,NO,YES
POMP,NO,YES
JAK2,NO,YES
FAM49A,NO,YES
SDF2L1,NO,YES
TTC13,NO,YES
HTATIP2,NO,YES
KAZALD1,NO,YES
HAPLN1,NO,YES
GPR37,NO,YES
NDUFB3,NO,YES
LACE1,NO,YES
DCX,NO,YES
GRHL2,NO,YES
TREX2,NO,YES
ZNF131,NO,YES
POLR2F,NO,YES
NUCKS1,NO,YES
CLCN1,NO,YES
UNC5B,NO,YES
SIX6,NO,YES
DCN,NO,YES
UGCGL1,NO,YES
BOC,NO,YES
PCF11,NO,YES
GPR162,NO,YES
CD4,NO,YES
DLX5,NO,YES
BMX,NO,YES
LOC145814,NO,YES
SSTR1,NO,YES
GPATCH2,NO,YES
FXYD3,NO,YES
POF1B,NO,YES
CAPZB,NO,YES
COL5A3,NO,YES
DNAI1,NO,YES
OR10C1,NO,YES
TMEM110,NO,YES
APBB2,NO,YES
IRX3,NO,YES
NDRG3,NO,YES
NR5A2,NO,YES
PNPLA6,NO,YES
USP14,NO,YES
HS3ST5,NO,YES
LIN7A,NO,YES
DAPK1,NO,YES
PSENEN,NO,YES
POU4F2,NO,YES
USP45,NO,YES
RDX,NO,YES
GPR64,NO,YES
FZD5,NO,YES
PHF2,NO,YES
ENTPD1,NO,YES
MESDC1,NO,YES
USP9X,NO,YES
CBX3,NO,YES
AMOTL1,NO,YES
MRPS35,NO,YES
CNOT8,UP,NO
RPS9,UP,NO
HLA-E,UP,NO
SLC2A3,UP,NO
ZNF395,UP,NO
CCNG2,UP,NO
NDRG1,UP,NO
SCD,UP,NO
IDS,UP,NO
RIOK3,UP,NO
SERINC3,UP,NO
PAM,UP,NO
INSIG1,UP,NO
TIPARP,UP,NO
SLC25A37,UP,NO
CD44,UP,NO
CD46,UP,NO
JUN,UP,NO
HLA-B,UP,NO
HLA-G,UP,NO
SLC6A8,UP,NO
HIST2H2BE,UP,NO
HLA-A,UP,NO
KIAA1715,UP,NO
PDK1,UP,NO
UGCG,UP,NO
CSRP2,UP,NO
ACBD5,UP,NO
IER3,UP,NO
PIGA,UP,NO
INSIG2,UP,NO
SERINC1,UP,NO
TNIP1,UP,NO
ING2,UP,NO
SAP30,UP,NO
RNMT,UP,NO
LGALS8,UP,NO
NGLY1,UP,NO
ITM2B,UP,NO
ACTB,UP,NO
TNNT1,UP,NO
ATF2,UP,NO
PFKL,UP,NO
CD99,UP,NO
CD99,UP,NO
FN1,UP,NO
ITGB1,UP,NO
PARP16,UP,NO
MPI,UP,NO
ENO2,UP,NO
GABARAPL1,UP,NO
GOLGA8A,UP,NO
PHF3,UP,NO
ANPEP,UP,NO
TMEM66,UP,NO
KLHL24,UP,NO
ASCC1,UP,NO
ARHGEF7,UP,NO
MUT,UP,NO
SAV1,UP,NO
CCDC52,UP,NO
ATRN,UP,NO
RASSF7,UP,NO
HMGCS1,UP,NO
MLH3,UP,NO
SYF2,UP,NO
SEC61G,UP,NO
HS2ST1,UP,NO
CA12,UP,NO
BCKDK,UP,NO
WASF3,UP,NO
LMAN1,UP,NO
JUND,UP,NO
PTGS1,UP,NO
FXR1,UP,NO
RPL29,UP,NO
DDB2,UP,NO
EIF4B,UP,NO
UBC,UP,NO
STARD4,UP,NO
NUPL1,UP,NO
IRS2,UP,NO
SLC35E1,UP,NO
LGALS1,UP,NO
RICTOR,UP,NO
ATG12,UP,NO
OS9,UP,NO
SC4MOL,UP,NO
DAPK2,UP,NO
BBS1,UP,NO
IKIP,UP,NO
FAM62B,UP,NO
PLDN,UP,NO
VKORC1,UP,NO
CHD2,UP,NO
CLK4,UP,NO
LMBRD1,UP,NO
PFKFB4,UP,NO
RAB20,UP,NO
IQGAP1,UP,NO
OFD1,UP,NO
TBC1D22A,UP,NO
MTP18,UP,NO
GAB2,UP,NO
SDCBP,UP,NO
FDFT1,UP,NO
MAP1LC3B,UP,NO
ISG20,UP,NO
TMEM9,UP,NO
PTTG1IP,UP,NO
RPS6,UP,NO
IL2RA,UP,NO
ZNF160,UP,NO
NFATC2IP,DOWN,NO
FLAD1,DOWN,NO
GART,DOWN,NO
SLC26A2,DOWN,NO
STAT1,DOWN,NO
COMMD5,DOWN,NO
YTHDC2,DOWN,NO
HSP90AA1,DOWN,NO
MKI67,DOWN,NO
NADK,DOWN,NO
ELMO2,DOWN,NO
LSG1,DOWN,NO
NOLC1,DOWN,NO
HSPA1A,DOWN,NO
HDGFRP3,DOWN,NO
UBLCP1,DOWN,NO
ASF1A,DOWN,NO
CSE1L,DOWN,NO
DHX9,DOWN,NO
OGFOD1,DOWN,NO
CLPTM1L,DOWN,NO
ARPC5L,DOWN,NO
ZDHHC21,DOWN,NO
CLTB,DOWN,NO
DHX30,DOWN,NO
NOL9,DOWN,NO
EXOSC4,DOWN,NO
NDUFS8,DOWN,NO
CACYBP,DOWN,NO
PTPN11,DOWN,NO
LARP5,DOWN,NO
TMEM19,DOWN,NO
API5,DOWN,NO
ANAPC5,DOWN,NO
IDH3A,DOWN,NO
TM7SF3,DOWN,NO
GTSE1,DOWN,NO
DEPDC1,DOWN,NO
TRAPPC4,DOWN,NO
SIP1,DOWN,NO
VANGL1,DOWN,NO
MRPL50,DOWN,NO
PSMA7,DOWN,NO
UMPS,DOWN,NO
SDCCAG1,DOWN,NO
MRPL40,DOWN,NO
IL1RL1,DOWN,NO
NQO1,DOWN,NO
PRPF40A,DOWN,NO
RTN4IP1,DOWN,NO
H2AFX,DOWN,NO
TFDP1,DOWN,NO
ATP11C,DOWN,NO
MGAT2,DOWN,NO
ACOT7,DOWN,NO
ABCF2,DOWN,NO
PARP1,DOWN,NO
SNX19,DOWN,NO
MTRR,DOWN,NO
AP2S1,DOWN,NO
APRT,DOWN,NO
NOM1,DOWN,NO
QRSL1,DOWN,NO
HEATR2,DOWN,NO
MRPS16,DOWN,NO
TFCP2,DOWN,NO
SEPHS1,DOWN,NO
STEAP1,DOWN,NO
TMEM5,DOWN,NO
RNPS1,DOWN,NO
TSN,DOWN,NO
GEMIN6,DOWN,NO
MPHOSPH9,DOWN,NO
SKP2,DOWN,NO
IKBKB,DOWN,NO
ZC3H13,DOWN,NO
TMEM93,DOWN,NO
ODF2L,DOWN,NO
PHTF1,DOWN,NO
AURKA,DOWN,NO
CENPA,DOWN,NO
SRPRB,DOWN,NO
TAP2,DOWN,NO
CPSF2,DOWN,NO
DPH5,DOWN,NO
ST6GALNAC4,DOWN,NO
DNAJC9,DOWN,NO
ZNRD1,DOWN,NO
GNL3L,DOWN,NO
EMG1,DOWN,NO
PIGM,DOWN,NO
MTO1,DOWN,NO
NIP7,DOWN,NO
RHOJ,DOWN,NO
KIF14,DOWN,NO
STX17,DOWN,NO
SFRS2B,DOWN,NO
ADAM19,DOWN,NO
COMMD4,DOWN,NO
PDCD11,DOWN,NO
PLEK,DOWN,NO
MRPL41,DOWN,NO
NUP210,DOWN,NO
ELAC2,DOWN,NO
NDUFA11,DOWN,NO
SR140,DOWN,NO
PRMT3,DOWN,NO
AQR,DOWN,NO
PIGO,DOWN,NO
NEDD1,DOWN,NO
CS,DOWN,NO
BXDC2,DOWN,NO
CD2BP2,DOWN,NO
XRCC5,DOWN,NO
LYSMD2,DOWN,NO
ERCC8,DOWN,NO
RNASEH1,DOWN,NO
PPID,DOWN,NO
FARSA,DOWN,NO
ATP6V0A2,DOWN,NO
PFDN6,DOWN,NO
TUFT1,NO,NO
ZNF654,NO,NO
UNC84A,NO,NO
CYC1,NO,NO
CKB,NO,NO
SEC24B,NO,NO
PIAS2,NO,NO
IMPAD1,NO,NO
ZNF133,NO,NO
FBXL12,NO,NO
GRB10,NO,NO
GMEB2,NO,NO
TMEM107,NO,NO
ZNF34,NO,NO
NPC2,NO,NO
RAB13,NO,NO
S100A10,NO,NO
ELL2,NO,NO
DPYSL4,NO,NO
ORC1L,NO,NO
PBXIP1,NO,NO
TULP3,NO,NO
MYLIP,NO,NO
RIT1,NO,NO
IFNGR2,NO,NO
TMEM59,NO,NO
TM2D1,NO,NO
THAP8,NO,NO
PLAUR,NO,NO
GADD45A,NO,NO
PGM1,NO,NO
TAF9B,NO,NO
ANKZF1,NO,NO
DDHD2,NO,NO
HLA-C,NO,NO
EFHC1,NO,NO
RNF24,NO,NO
FHL2,NO,NO
GGA2,NO,NO
CPOX,NO,NO
B4GALT4,NO,NO
CCDC28A,NO,NO
CTSB,NO,NO
PLD3,NO,NO
STK32C,NO,NO
ITGA5,NO,NO
PPFIA4,NO,NO
GOLPH3L,NO,NO
CYP39A1,NO,NO
OPTN,NO,NO
LIMS1,NO,NO
MAP3K2,NO,NO
UFM1,NO,NO
RNASET2,NO,NO
ZFP36,NO,NO
TAX1BP1,NO,NO
ANGPTL4,NO,NO
KCTD10,NO,NO
FTCD,NO,NO
NCKIPSD,NO,NO
STAMBP,NO,NO
FBXL3,NO,NO
CD55,NO,NO
GOLGA8B,NO,NO
VAMP4,NO,NO
IARS2,NO,NO
AMPD3,NO,NO
GPI,NO,NO
ZNF16,NO,NO
ASAH1,NO,NO
TRAF1,NO,NO
TNFRSF10D,NO,NO
CABIN1,NO,NO
DNAH1,NO,NO
FUT11,NO,NO
RIPK4,NO,NO
POLR1D,NO,NO
MT1F,NO,NO
NELL2,NO,NO
RBAK,NO,NO
CCRN4L,NO,NO
STX7,NO,NO
FZD7,NO,NO
HPRT1,NO,NO
CCDC104,NO,NO
CAMLG,NO,NO
OSBPL1A,NO,NO
TSPAN6,NO,NO
BCL10,NO,NO
DNAJB2,NO,NO
ATXN1,NO,NO
HEBP2,NO,NO
CLEC2B,NO,NO
SAMSN1,NO,NO
PXDN,NO,NO
GATM,NO,NO
CSPG5,NO,NO
PDXK,NO,NO
SPINT2,NO,NO
MFNG,NO,NO
GM2A,NO,NO
TMEM41B,NO,NO
KATNAL1,NO,NO
GLT25D2,NO,NO
MYO3A,NO,NO
LGALS3,NO,NO
FAM57A,NO,NO
LPIN1,NO,NO
SARS,NO,NO
GALNS,NO,NO
PKP2,NO,NO
NTAN1,NO,NO
SCARB1,NO,NO
COX4I1,NO,NO
SNAPC1,NO,NO
HMGCL,NO,NO
LOXL2,NO,NO
SPAG4,NO,NO
SUCLG2,NO,NO
LOC644096,NO,NO
LAMB2,NO,NO
MFSD4,NO,NO
RPL36,NO,NO
ZNF256,NO,NO
GPR160,NO,NO
CRELD1,NO,NO
CRYAB,NO,NO
DDX41,NO,NO
RIPK2,NO,NO
RAB2B,NO,NO
MT1X,NO,NO
NMB,NO,NO
ESCO2,NO,NO
SPATA7,NO,NO
EPS8L2,NO,NO
DSG2,NO,NO
RNF130,NO,NO
ERCC5,NO,NO
ZNF589,NO,NO
PKIA,NO,NO
RDH16,NO,NO
SLC6A3,NO,NO
SMOX,NO,NO
ADFP,NO,NO
ZNF516,NO,NO
IGBP1,NO,NO
RPL34,NO,NO
GSTA4,NO,NO
ZNF84,NO,NO
RPL15,NO,NO
SEMA3C,NO,NO
TJP2,NO,NO
SDC4,NO,NO
SMYD3,NO,NO
ALDH2,NO,NO
TNFAIP8,NO,NO
MAML1,NO,NO
SMC2,NO,NO
NENF,NO,NO
SLC26A6,NO,NO
LOC285033,NO,NO
TMEM65,NO,NO
FKBP15,NO,NO
GNE,NO,NO
UAP1L1,NO,NO
RELA,NO,NO
ZNRF1,NO,NO
GLRX,NO,NO
PRPH,NO,NO
KTN1,NO,NO
WDR47,NO,NO
DDX3Y,NO,NO
FPR1,NO,NO
TMEM134,NO,NO
RPS10,NO,NO
VPS37C,NO,NO
PRRG1,NO,NO
SLC25A4,NO,NO
SLC16A4,NO,NO
WDR59,NO,NO
COL6A1,NO,NO
ADAM17,NO,NO
PARP15,NO,NO
RRAGA,NO,NO
IL8,NO,NO
GCET2,NO,NO
COX7A2L,NO,NO
CCNG1,NO,NO
ZFYVE1,NO,NO
WHSC2,NO,NO
ADPRHL2,NO,NO
TNIP2,NO,NO
SERINC2,NO,NO
INADL,NO,NO
GABRR2,NO,NO
B2M,NO,NO
MMP12,NO,NO
SMAD4,NO,NO
PDLIM1,NO,NO
GUCY2F,NO,NO
DFNA5,NO,NO
RNF111,NO,NO
KIAA1191,NO,NO
ZNF415,NO,NO
ARTN,NO,NO
RNF7,NO,NO
WDR66,NO,NO
GUK1,NO,NO
PGRMC1,NO,NO
ITGAV,NO,NO
PDXP,NO,NO
F3,NO,NO
TFPI,NO,NO
FOS,NO,NO
DSC2,NO,NO
KLHL21,NO,NO
MLF1,NO,NO
MYADM,NO,NO
PGK2,NO,NO
ZNF426,NO,NO
MUC1,NO,NO
SPOCD1,NO,NO
ZNF484,NO,NO
YME1L1,NO,NO
DEGS1,NO,NO
KIAA1462,NO,NO
ACAA2,NO,NO
STK17B,NO,NO
MAN1B1,NO,NO
LAMC1,NO,NO
SPSB1,NO,NO
IQCF1,NO,NO
TBC1D20,NO,NO
LARP6,NO,NO
ZMYM5,NO,NO
CALCB,NO,NO
CIB1,NO,NO
RBPMS,NO,NO
GCG,NO,NO
NADSYN1,NO,NO
KIAA1609,NO,NO
GMFG,NO,NO
SPATA6,NO,NO
OXSM,NO,NO
AMICA1,NO,NO
ZNF274,NO,NO
LRP5L,NO,NO
RCBTB2,NO,NO
CYB5R3,NO,NO
ST14,NO,NO
TMEM123,NO,NO
ABHD4,NO,NO
OVGP1,NO,NO
NVL,NO,NO
CLEC1A,NO,NO
PINK1,NO,NO
GALNTL2,NO,NO
KIAA1147,NO,NO
PPIA,NO,NO
ZNF581,NO,NO
OXTR,NO,NO
CREG1,NO,NO
DGKD,NO,NO
SELK,NO,NO
GEM,NO,NO
FBXO21,NO,NO
ELL,NO,NO
YOD1,NO,NO
TCTE3,NO,NO
RPH3A,NO,NO
USP12,NO,NO
SERPINB6,NO,NO
BIRC2,NO,NO
CD5,NO,NO
MKRN3,NO,NO
TRIB3,NO,NO
RGS5,NO,NO
ZDBF2,NO,NO
NEFL,NO,NO
MALT1,NO,NO
PDC,NO,NO
TTLL7,NO,NO
TNFRSF14,NO,NO
PRICKLE2,NO,NO
C1S,NO,NO
CYP27B1,NO,NO
DYNLT3,NO,NO
NDUFS4,NO,NO
PGM2L1,NO,NO
GNA15,NO,NO
RPS21,NO,NO
REN,NO,NO
DHRS7,NO,NO
APOL1,NO,NO
AZI2,NO,NO
AKR7A2,NO,NO
MAP6,NO,NO
ZNF350,NO,NO
VAMP2,NO,NO
TBXA2R,NO,NO
CHRNB2,NO,NO
PFDN5,NO,NO
RHPN2,NO,NO
TRIP12,NO,NO
PLXNB3,NO,NO
TRIM52,NO,NO
SOD2,NO,NO
SPIRE1,NO,NO
SFTPB,NO,NO
USP53,NO,NO
WDR60,NO,NO
LHPP,NO,NO
TGDS,NO,NO
NUDT18,NO,NO
SEMA4B,NO,NO
MT3,NO,NO
RPS16,NO,NO
NKX2-5,NO,NO
BASP1,NO,NO
ZNF211,NO,NO
ZNF337,NO,NO
HBXIP,NO,NO
GNPDA2,NO,NO
HMGB2,NO,NO
PPP1R16A,NO,NO
TBC1D25,NO,NO
RBM22,NO,NO
MYOM1,NO,NO
P2RY10,NO,NO
HLA-DPB1,NO,NO
AGTPBP1,NO,NO
COBLL1,NO,NO
SDC2,NO,NO
CTNNAL1,NO,NO
GPR137B,NO,NO
CSRP3,NO,NO
EEF1A2,NO,NO
GRRP1,NO,NO
ITM2C,NO,NO
TUBB6,NO,NO
MYL6B,NO,NO
TSEN34,NO,NO
PHPT1,NO,NO
SV2B,NO,NO
PTGS2,NO,NO
SMPDL3A,NO,NO
ZNF667,NO,NO
TRIT1,NO,NO
MESP1,NO,NO
PTGER3,NO,NO
EHD2,NO,NO
DDX43,NO,NO
PDLIM2,NO,NO
FNTA,NO,NO
SYNGR3,NO,NO
GNAI3,NO,NO
MST150,NO,NO
SLC45A1,NO,NO
RPS7,NO,NO
POU2AF1,NO,NO
ZNF317,NO,NO
RNF144A,NO,NO
ZC3H7A,NO,NO
DDOST,NO,NO
TINP1,NO,NO
SYAP1,NO,NO
ULBP2,NO,NO
MRPS30,NO,NO
HLA-DRB1,NO,NO
GPR35,NO,NO
CHMP2B,NO,NO
MYO5B,NO,NO
TAGLN,NO,NO
PLA2G1B,NO,NO
GRAMD1A,NO,NO
STS,NO,NO
SOS1,NO,NO
GPNMB,NO,NO
FZD3,NO,NO
MNAT1,NO,NO
RPL11,NO,NO
CCHCR1,NO,NO
ADIPOR2,NO,NO
PGF,NO,NO
CARS,NO,NO
ROBO3,NO,NO
MBIP,NO,NO
RARRES1,NO,NO
TGFBR1,NO,NO
PNLIPRP2,NO,NO
RICS,NO,NO
OCRL,NO,NO
ST6GALNAC6,NO,NO
RPS29,NO,NO
MYH2,NO,NO
ZNF331,NO,NO
KCND1,NO,NO
HIST3H2A,NO,NO
PPIL4,NO,NO
ZNF671,NO,NO
ATP6AP2,NO,NO
KLHL7,NO,NO
GLCE,NO,NO
SPO11,NO,NO
TMEM41A,NO,NO
POLM,NO,NO
ECOP,NO,NO
CALCOCO1,NO,NO
ZNF185,NO,NO
ROPN1L,NO,NO
MLL3,NO,NO
GDF15,NO,NO
FMOD,NO,NO
CFHR3,NO,NO
COX5B,NO,NO
CYP2C8,NO,NO
ZBTB44,NO,NO
DAPK3,NO,NO
NR2C1,NO,NO
ZNF155,NO,NO
ADAMTSL5,NO,NO
SH3BGRL,NO,NO
DUSP10,NO,NO
MTMR11,NO,NO
MANBA,NO,NO
IL15,NO,NO
CD109,NO,NO
TBC1D2B,NO,NO
ZNF610,NO,NO
ENPP4,NO,NO
FABP5,NO,NO
WDR54,NO,NO
RAB33B,NO,NO
MATN2,NO,NO
IL1B,NO,NO
CDK7,NO,NO
KLRA1,NO,NO
POU6F1,NO,NO
SERPINB1,NO,NO
TCEA1,NO,NO
RNF183,NO,NO
IL10RB,NO,NO
SRPX,NO,NO
MAEL,NO,NO
LPAL2,NO,NO
SH2D4A,NO,NO
MYO1B,NO,NO
LOC441476,NO,NO
SAP18,NO,NO
FEM1B,NO,NO
CSNK2A1,NO,NO
USP11,NO,NO
BSDC1,NO,NO
NPC1L1,NO,NO
DOK2,NO,NO
CRABP2,NO,NO
COL4A1,NO,NO
CCDC19,NO,NO
GSTM3,NO,NO
PIGT,NO,NO
TMPRSS5,NO,NO
CHGB,NO,NO
ALDOB,NO,NO
FNDC4,NO,NO
ACTR1B,NO,NO
ABHD14B,NO,NO
